,obj_value
0,4.330082893
1,4.332186222
2,4.340185165
3,4.353443623
4,4.371043205
5,4.379255772
6,4.361999989
7,4.366073608
8,4.375609398
9,4.389379501
10,4.391206741
11,4.395663261
12,4.40137291
13,4.401479721
14,4.399067879
15,4.409060478
16,4.424304962
17,4.432053089
18,4.436504841
19,4.441818714
20,4.449109077
21,4.480911255
22,4.489076614
23,4.490364552
24,4.506567955
25,4.503826141
26,4.512610435
27,4.51641798
28,4.534017086
29,4.54279232
30,4.543345451
31,4.563252926
32,4.568328857
33,4.578600883
34,4.588561058
35,4.598050594
36,4.593287945
37,4.600636005
38,4.608780384
39,4.614712715
40,4.653468609
41,4.668198586
42,4.669235229
43,4.666872025
44,4.673215866
45,4.68743515
46,4.690106392
47,4.705316067
48,4.723444939
49,4.731558323
50,4.743960381
51,4.744746685
52,4.750954628
53,4.763622284
54,4.78260994
55,4.788022518
56,4.797339916
57,4.79901886
58,4.811671734
59,4.83509779
60,4.837567329
61,4.844844818
62,4.845663071
63,4.847049236
64,4.842989445
65,4.855766296
66,4.864922523
67,4.881072998
68,4.887022495
69,4.898390293
70,4.901229858
71,4.903216839
72,4.909647942
73,4.922010422
74,4.946016312
75,4.951315403
76,4.945431232
77,4.944452286
78,4.944105625
79,4.947062492
80,4.951654434
81,4.952222347
82,4.947423935
83,4.963894844
84,4.97053051
85,4.979052067
86,4.983373642
87,4.983098984
88,4.988271236
89,4.99182415
90,4.990988255
91,5.005748272
92,5.016233921
93,5.017107964
94,5.024021626
95,5.024066448
96,5.0252285
97,5.019868374
98,5.023746967
99,5.029924393
100,5.035075188
101,5.043267727
102,5.045648098
103,5.047544479
104,5.06243372
105,5.069824219
106,5.057720184
107,5.067228794
108,5.075444221
109,5.080552101
110,5.078316212
111,5.082248688
112,5.079297066
113,5.086948872
114,5.089645386
115,5.075840473
116,5.085425854
117,5.096084595
118,5.094296455
119,5.090775967
120,5.111970901
121,5.118270874
122,5.116849899
123,5.124237061
124,5.136392117
125,5.144781113
126,5.145704269
127,5.137054443
128,5.127687931
129,5.135958672
130,5.146777153
131,5.154948711
132,5.157681465
133,5.167494297
134,5.161186218
135,5.152438641
136,5.147967815
137,5.152444839
138,5.168457031
139,5.176644325
140,5.178670883
141,5.187650681
142,5.204994202
143,5.213046074
144,5.204958916
145,5.213227272
146,5.223461151
147,5.18810606
148,5.194235802
149,5.190944195
150,5.199376583
151,5.212299824
152,5.223162174
153,5.237992764
154,5.246405125
155,5.261201382
156,5.269258499
157,5.274558067
158,5.271153927
159,5.276309967
160,5.28276062
161,5.281716347
162,5.298787117
163,5.307441711
164,5.314177036
165,5.331021309
166,5.324412346
167,5.322500229
168,5.324160576
169,5.318133831
170,5.318623066
171,5.321304321
172,5.322277546
173,5.33573246
174,5.342646122
175,5.349695683
176,5.36274004
177,5.367180347
178,5.366742611
179,5.369839668
180,5.385629654
181,5.395005703
182,5.392057896
183,5.39146471
184,5.398603439
185,5.401243687
186,5.402701378
187,5.396706104
188,5.40043354
189,5.404816151
190,5.40422821
191,5.414878368
192,5.413431168
193,5.413434982
194,5.426580906
195,5.43471384
196,5.427601814
197,5.429114342
198,5.426149368
199,5.45085907
200,5.467086315
201,5.489305973
202,5.522142887
203,5.526729107
204,5.536290169
205,5.522108078
206,5.525112629
207,5.517958641
208,5.54202652
209,5.561984062
210,5.564238071
211,5.579969883
212,5.57272625
213,5.579053879
214,5.584366322
215,5.587018967
216,5.585656166
217,5.600451946
218,5.589041233
219,5.598903179
220,5.597873211
221,5.595087528
222,5.594224453
223,5.595990658
224,5.59555769
225,5.599291801
226,5.606745243
227,5.610303879
228,5.600008488
229,5.599759579
230,5.603186131
231,5.609209538
232,5.619778633
233,5.619793892
234,5.616472244
235,5.617023945
236,5.622111797
237,5.630581856
238,5.635746479
239,5.633190632
240,5.635915756
241,5.644749165
242,5.646149158
243,5.64496851
244,5.651853561
245,5.657601357
246,5.662298203
247,5.668615341
248,5.668429852
249,5.671304703
250,5.67382431
251,5.67905426
252,5.681949615
253,5.690772533
254,5.688100815
255,5.684889317
256,5.692530632
257,5.690297127
258,5.696579933
259,5.707407475
260,5.715747356
261,5.723882198
262,5.728009701
263,5.72121048
264,5.718149662
265,5.722537041
266,5.726429462
267,5.725353241
268,5.727645397
269,5.73056221
270,5.743421078
271,5.753241062
272,5.751294136
273,5.754337788
274,5.756332397
275,5.758226871
276,5.755496502
277,5.752574444
278,5.762093544
279,5.781197548
280,5.781829357
281,5.785498142
282,5.789520741
283,5.774401665
284,5.775835991
285,5.776947021
286,5.774207592
287,5.777585983
288,5.781374931
289,5.79694128
290,5.795989513
291,5.797216892
292,5.794986725
293,5.795362473
294,5.801638603
295,5.802126884
296,5.809638977
297,5.8176651
298,5.82264185
299,5.824567795
300,5.816472054
301,5.819393158
302,5.822650909
303,5.823630333
304,5.826388836
305,5.827893734
306,5.839430809
307,5.846158504
308,5.84902668
309,5.847104073
310,5.848190308
311,5.844780922
312,5.846656322
313,5.849433422
314,5.85241127
315,5.850533009
316,5.857182026
317,5.859699726
318,5.864027977
319,5.862690449
320,5.866057873
321,5.869998932
322,5.856494904
323,5.857810974
324,5.863590717
325,5.862395287
326,5.865604877
327,5.876224995
328,5.878564835
329,5.897355556
330,5.898511887
331,5.90235424
332,5.899435043
333,5.902691841
334,5.911174774
335,5.914680481
336,5.911840916
337,5.91029644
338,5.897782326
339,5.902409554
340,5.903184891
341,5.905439854
342,5.904535294
343,5.90680933
344,5.911227226
345,5.910461426
346,5.911745548
347,5.91836834
348,5.921214104
349,5.925499439
350,5.92424345
351,5.938619137
352,5.943015099
353,5.939382553
354,5.942342758
355,5.943396091
356,5.940886974
357,5.944210529
358,5.947204113
359,5.948963642
360,5.950723171
361,5.952005863
362,5.95468092
363,5.961109638
364,5.961444378
365,5.96736908
366,5.972310543
367,5.965643883
368,5.970631123
369,5.975096703
370,5.977223396
371,5.975347996
372,5.977019787
373,5.974897861
374,5.970779896
375,5.975082874
376,5.975748539
377,5.977333069
378,5.987485409
379,5.988984585
380,5.979855537
381,5.981759548
382,5.982306004
383,5.995151043
384,5.994111538
385,5.991374969
386,5.989872932
387,5.990983963
388,5.990121365
389,5.999742985
390,5.99935627
391,5.996947289
392,5.999370098
393,6.003375053
394,6.005888939
395,6.007873535
396,6.010527611
397,6.012916565
398,6.01149559
399,6.010420799
400,6.022768497
401,6.024241924
402,6.029161453
403,6.032873631
404,6.032708168
405,6.033699512
406,6.03071928
407,6.030423641
408,6.030866623
409,6.029268265
410,6.030917645
411,6.031291485
