,obj_value
0,tensor(0.0009)
1,tensor(0.0041)
2,tensor(0.0037)
3,tensor(0.0027)
4,tensor(0.0063)
5,tensor(0.0087)
6,tensor(0.0058)
7,tensor(0.0080)
8,tensor(0.0063)
9,tensor(0.0072)
10,tensor(0.0098)
11,tensor(0.0074)
12,tensor(0.0116)
13,tensor(0.0051)
14,tensor(0.0132)
15,tensor(0.0076)
16,tensor(0.0079)
17,tensor(0.0063)
18,tensor(0.0051)
19,tensor(0.0080)
20,tensor(0.0094)
21,tensor(0.0137)
22,tensor(0.0103)
23,tensor(0.0162)
24,tensor(0.0130)
25,tensor(0.0168)
26,tensor(0.0174)
27,tensor(0.0162)
28,tensor(0.0165)
29,tensor(0.0138)
30,tensor(0.0160)
31,tensor(0.0209)
32,tensor(0.0192)
33,tensor(0.0198)
34,tensor(0.0163)
35,tensor(0.0176)
36,tensor(0.0147)
37,tensor(0.0172)
38,tensor(0.0146)
39,tensor(0.0120)
40,tensor(0.0135)
41,tensor(0.0127)
42,tensor(0.0096)
43,tensor(0.0159)
44,tensor(0.0184)
45,tensor(0.0169)
46,tensor(0.0180)
47,tensor(0.0218)
48,tensor(0.0161)
49,tensor(0.0141)
50,tensor(0.0146)
51,tensor(0.0124)
52,tensor(0.0122)
53,tensor(0.0136)
54,tensor(0.0105)
55,tensor(0.0058)
56,tensor(0.0076)
57,tensor(0.0072)
58,tensor(0.0085)
59,tensor(0.0119)
60,tensor(0.0119)
61,tensor(0.0103)
62,tensor(0.0074)
63,tensor(0.0096)
64,tensor(0.0099)
65,tensor(0.0095)
66,tensor(0.0136)
67,tensor(0.0100)
68,tensor(0.0101)
69,tensor(0.0089)
70,tensor(0.0083)
71,tensor(0.0060)
72,tensor(0.0095)
73,tensor(0.0138)
74,tensor(0.0123)
75,tensor(0.0102)
76,tensor(0.0110)
77,tensor(0.0059)
78,tensor(0.0121)
79,tensor(0.0074)
80,tensor(0.0081)
81,tensor(0.0075)
82,tensor(0.0071)
83,tensor(0.0097)
84,tensor(0.0087)
85,tensor(0.0086)
86,tensor(0.0090)
87,tensor(0.0104)
88,tensor(0.0104)
89,tensor(0.0100)
90,tensor(0.0116)
91,tensor(0.0111)
92,tensor(0.0100)
93,tensor(0.0075)
94,tensor(0.0062)
95,tensor(0.0063)
96,tensor(0.0058)
97,tensor(0.0079)
98,tensor(0.0071)
99,tensor(0.0059)
100,tensor(0.0116)
101,tensor(0.0092)
102,tensor(0.0098)
103,tensor(0.0082)
104,tensor(0.0107)
105,tensor(0.0150)
106,tensor(0.0222)
107,tensor(0.0156)
108,tensor(0.0160)
109,tensor(0.0137)
110,tensor(0.0184)
111,tensor(0.0130)
112,tensor(0.0193)
113,tensor(0.0200)
114,tensor(0.0150)
115,tensor(0.0245)
116,tensor(0.0216)
117,tensor(0.0203)
118,tensor(0.0179)
119,tensor(0.0193)
120,tensor(0.0200)
121,tensor(0.0159)
